Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward,Episode reward std
81,-205.0,-178.0,-1000.0,-931.0,-1000.0,-1000.0,-151.0,-637.8571428571429,399.1488904340007
82,-180.0,-1000.0,-456.0,-792.0,-1000.0,-1000.0,-174.0,-657.4285714285714,353.0256393533143
83,-220.0,-503.0,-380.0,-1000.0,-1000.0,-457.0,-227.0,-541.0,306.45903944433235
84,-189.0,-150.0,-1000.0,-598.0,-1000.0,-606.0,-102.0,-520.7142857142857,357.6633350295915
85,-208.0,-183.0,-1000.0,-1000.0,-1000.0,-1000.0,-171.0,-651.7142857142857,402.2922584694985
86,-1000.0,-688.0,-1000.0,-1000.0,-566.0,-197.0,-108.0,-651.2857142857143,353.5455979020505
87,-438.0,-412.0,-1000.0,-1000.0,-1000.0,-1000.0,-195.0,-720.7142857142857,330.28330448947884
88,-304.0,-135.0,-1000.0,-1000.0,-1000.0,-380.0,-206.0,-575.0,374.7574453658564
89,-237.0,-273.0,-1000.0,-1000.0,-1000.0,-376.0,-159.0,-577.8571428571429,370.31316035849153
90,-176.0,-1000.0,-1000.0,-1000.0,-447.0,-216.0,-102.0,-563.0,390.7980845105857
91,-590.0,-917.0,-804.0,-1000.0,-1000.0,-246.0,-302.0,-694.1428571428571,296.234669800543
92,-233.0,-1000.0,-424.0,-1000.0,-591.0,-232.0,-246.0,-532.2857142857143,319.46147287749926
93,-415.0,-1000.0,-1000.0,-589.0,-634.0,-188.0,-132.0,-565.4285714285714,324.2361824979074
94,-1000.0,-1000.0,-1000.0,-375.0,-744.0,-217.0,-1000.0,-762.2857142857143,310.2288161459972
95,-219.0,-265.0,-1000.0,-1000.0,-1000.0,-211.0,-753.0,-635.4285714285714,359.2312653999041
96,-243.0,-1000.0,-1000.0,-1000.0,-361.0,-621.0,-549.0,-682.0,297.740059207932
97,-235.0,-1000.0,-1000.0,-356.0,-419.0,-215.0,-125.0,-478.57142857142856,341.4585760874567
98,-1000.0,-344.0,-827.0,-1000.0,-496.0,-215.0,-116.0,-571.1428571428571,343.2060724452079
99,-288.0,-1000.0,-1000.0,-1000.0,-546.0,-539.0,-217.0,-655.7142857142857,318.2410202013177
100,-134.0,-324.0,-380.0,-949.0,-1000.0,-331.0,-166.0,-469.14285714285717,330.45095965164614
