Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward,Episode reward std
74,-1000.0,-311.0,-1000.0,-748.0,-569.0,-226.0,-412.0,-609.4285714285714,293.0099253037866
75,-999.0,-194.0,-602.0,-403.0,-263.0,-281.0,-167.0,-415.57142857142856,274.53121453689386
76,-730.0,-217.0,-336.0,-266.0,-824.0,-117.0,-187.0,-382.42857142857144,258.4331121768024
77,-1000.0,-168.0,-763.0,-580.0,-528.0,-298.0,-238.0,-510.7142857142857,279.08560606058506
78,-554.0,-173.0,-1000.0,-439.0,-135.0,-249.0,-169.0,-388.42857142857144,288.39846301495396
79,-1000.0,-174.0,-1000.0,-420.0,-224.0,-285.0,-406.0,-501.2857142857143,325.9933015463067
80,-718.0,-130.0,-1000.0,-355.0,-329.0,-150.0,-1000.0,-526.0,348.9695033748856
81,-1000.0,-251.0,-390.0,-575.0,-232.0,-137.0,-1000.0,-512.1428571428571,334.2981682661789
82,-991.0,-136.0,-710.0,-737.0,-484.0,-169.0,-1000.0,-603.8571428571429,329.10242807257634
83,-1000.0,-170.0,-1000.0,-896.0,-169.0,-144.0,-304.0,-526.1428571428571,384.6417363029166
84,-434.0,-123.0,-233.0,-762.0,-191.0,-296.0,-126.0,-309.2857142857143,210.0297355040909
85,-1000.0,-206.0,-329.0,-759.0,-280.0,-186.0,-232.0,-427.42857142857144,296.3375763950186
86,-1000.0,-196.0,-1000.0,-920.0,-1000.0,-137.0,-216.0,-638.4285714285714,395.8902651503524
87,-1000.0,-238.0,-636.0,-311.0,-404.0,-167.0,-418.0,-453.42857142857144,263.0881748674806
88,-1000.0,-162.0,-333.0,-572.0,-236.0,-129.0,-155.0,-369.57142857142856,293.8896085961808
89,-456.0,-132.0,-1000.0,-604.0,-1000.0,-121.0,-223.0,-505.14285714285717,352.20952715735586
90,-1000.0,-138.0,-1000.0,-1000.0,-357.0,-612.0,-1000.0,-729.5714285714286,337.02812817875224
91,-1000.0,-131.0,-515.0,-518.0,-359.0,-287.0,-237.0,-435.2857142857143,265.06425867040207
92,-1000.0,-135.0,-1000.0,-318.0,-569.0,-906.0,-245.0,-596.1428571428571,345.6395432781831
93,-1000.0,-117.0,-964.0,-187.0,-1000.0,-447.0,-151.0,-552.2857142857143,390.1332059275997
94,-659.0,-220.0,-1000.0,-479.0,-1000.0,-515.0,-223.0,-585.1428571428571,300.078765170284
95,-1000.0,-201.0,-1000.0,-871.0,-1000.0,-475.0,-966.0,-787.5714285714286,296.63390478734516
96,-1000.0,-226.0,-617.0,-510.0,-1000.0,-398.0,-393.0,-592.0,280.6802960156423
97,-1000.0,-196.0,-1000.0,-456.0,-1000.0,-533.0,-546.0,-675.8571428571429,300.25628508774616
98,-1000.0,-241.0,-1000.0,-535.0,-1000.0,-1000.0,-391.0,-738.1428571428571,312.4106402849706
99,-1000.0,-214.0,-859.0,-499.0,-1000.0,-423.0,-1000.0,-713.5714285714286,304.09531266310813
100,-1000.0,-315.0,-1000.0,-599.0,-1000.0,-215.0,-535.0,-666.2857142857143,312.34583135900334
