Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward,Episode reward std
74,-81.0,-113.0,-313.0,-630.0,-1000.0,-301.0,-107.0,-363.57142857142856,314.17913777373076
75,-149.0,-294.0,-157.0,-315.0,-271.0,-198.0,-210.0,-227.71428571428572,61.27156013708687
76,-127.0,-176.0,-135.0,-1000.0,-188.0,-450.0,-152.0,-318.2857142857143,296.92168966904114
77,-108.0,-229.0,-215.0,-1000.0,-185.0,-255.0,-127.0,-302.7142857142857,288.9036983819617
78,-95.0,-145.0,-149.0,-1000.0,-109.0,-236.0,-138.0,-267.42857142857144,301.9568829877429
79,-108.0,-156.0,-339.0,-332.0,-158.0,-425.0,-150.0,-238.28571428571428,114.50104713896012
80,-166.0,-108.0,-212.0,-1000.0,-206.0,-381.0,-128.0,-314.42857142857144,291.8139608639416
81,-122.0,-142.0,-432.0,-194.0,-273.0,-323.0,-127.0,-230.42857142857142,108.63682241152615
82,-434.0,-160.0,-218.0,-159.0,-167.0,-127.0,-174.0,-205.57142857142858,96.5384559094859
83,-86.0,-203.0,-354.0,-295.0,-478.0,-324.0,-120.0,-265.7142857142857,127.9382823146874
84,-91.0,-167.0,-282.0,-1000.0,-244.0,-349.0,-125.0,-322.57142857142856,288.91168059404157
85,-109.0,-190.0,-250.0,-240.0,-157.0,-141.0,-126.0,-173.28571428571428,51.11811053325226
86,-82.0,-183.0,-537.0,-312.0,-207.0,-637.0,-162.0,-302.85714285714283,192.25387127547825
87,-107.0,-198.0,-344.0,-234.0,-243.0,-111.0,-127.0,-194.85714285714286,80.58611821510944
88,-116.0,-187.0,-224.0,-358.0,-134.0,-464.0,-144.0,-232.42857142857142,121.06179902708149
89,-93.0,-120.0,-194.0,-179.0,-216.0,-252.0,-157.0,-173.0,50.75431016179808
90,-122.0,-122.0,-234.0,-332.0,-125.0,-170.0,-115.0,-174.28571428571428,75.4694153486114
91,-88.0,-149.0,-270.0,-264.0,-135.0,-360.0,-130.0,-199.42857142857142,91.70115615855848
92,-115.0,-168.0,-217.0,-1000.0,-145.0,-196.0,-155.0,-285.14285714285717,293.4666827385198
93,-143.0,-211.0,-129.0,-338.0,-221.0,-237.0,-148.0,-203.85714285714286,67.46941862043568
94,-145.0,-105.0,-363.0,-1000.0,-174.0,-383.0,-132.0,-328.85714285714283,293.05749244397595
95,-120.0,-167.0,-139.0,-185.0,-165.0,-311.0,-187.0,-182.0,57.17392012847416
96,-132.0,-111.0,-237.0,-191.0,-203.0,-304.0,-204.0,-197.42857142857142,59.50956019919859
97,-98.0,-252.0,-180.0,-1000.0,-121.0,-231.0,-353.0,-319.2857142857143,288.9674792803382
98,-111.0,-126.0,-148.0,-222.0,-226.0,-221.0,-152.0,-172.28571428571428,45.71562498038213
99,-142.0,-113.0,-183.0,-221.0,-153.0,-139.0,-176.0,-161.0,32.780656316971886
100,-138.0,-147.0,-181.0,-364.0,-128.0,-254.0,-180.0,-198.85714285714286,77.82843507435088
