Episode time step,Episode number,Episode reward,Mean Q value,Std Q value,Cv Q value,Mean loss,Mean silhouette score
780,31,35.0,0.9927843723978315,0.04690780467446416,0.04724873394327276,0.015940996422016594,0.58860403
796,32,16.0,1.0301919654011726,0.023408081702567522,0.022722058110259145,0.009666613083481934,0.59791285
808,33,12.0,0.9334299465020498,0.014850412511235206,0.01590950940334181,0.002876814891654552,0.5832959
833,34,25.0,0.9578463959693909,0.03205815174303394,0.033468990307772055,0.007579546336419298,0.5865771
848,35,15.0,0.9364109476407368,0.032137303340917474,0.034319657861632845,0.0022731203707129074,0.6154924
864,36,16.0,0.941567849367857,0.013661377431849243,0.014509180024595274,0.00785780172941486,0.588952
897,37,33.0,0.9648229642347856,0.02687685817561337,0.027856777017045586,0.012417315921277006,0.56844926
933,38,36.0,1.0154249651564493,0.06233292520217197,0.06138604755750531,0.03408543735026291,0.58742005
946,39,13.0,1.0408211121192346,0.04130505209178477,0.039685063658713465,0.02014682260050904,0.589546
962,40,16.0,1.0282339826226234,0.05480169015787562,0.053296906233441056,0.021169036899664206,0.5805799
976,41,14.0,1.0261799778257097,0.03165764835524942,0.030849996140371268,0.019878809716569128,0.5844279
1002,42,26.0,1.0027662171767309,0.03856779945590001,0.03846140685162581,0.0615501915270635,0.5867866
1065,43,63.0,1.9500332900456019,0.22359807806502108,0.11466372354073617,0.09057219079136664,0.5637562
1125,44,60.0,1.945102047920227,0.036138582325703175,0.018579273187411347,0.04397692376636163,0.5662543
1143,45,18.0,1.918342497613695,0.022839385644388817,0.01190579141774718,0.0728030236851838,0.55739594
1157,46,14.0,1.8856894203594752,0.020421581490943613,0.010829769351439953,0.07000254907844854,0.548664
1185,47,28.0,1.9183359358991896,0.06769848320759979,0.035290212699824755,0.03206191667478769,0.5670521
1195,48,10.0,1.889241671562195,0.03079789956143638,0.016301725726793812,0.043308752775192264,0.5681654
1207,49,12.0,1.8925187687079112,0.013457325328426252,0.00711080151538684,0.03176570609988024,0.58490044
1222,50,15.0,1.9087821245193481,0.04357529036363067,0.022828844530699593,0.048689039453165606,0.5796582
1253,51,31.0,1.9701241370170348,0.030565428665795213,0.015514468398968164,0.04643719428033012,0.54884976
1268,52,15.0,1.9271746476491292,0.04965340144111476,0.025764868535233503,0.05916868641700906,0.542321
1301,53,33.0,1.9814379431984641,0.03273829316516223,0.01652249230289576,0.049297345803951786,0.5539628
1313,54,12.0,1.9785320162773132,0.02312703076511638,0.011688984850814196,0.042447656557972856,0.55816555
1342,55,29.0,1.9244157404735172,0.037913197980029276,0.019701147305467605,0.04577667455405703,0.5419548
1366,56,24.0,1.9900014599164326,0.031177674741456364,0.01566716174307009,0.06401961834732599,0.5765355
1380,57,14.0,1.887552993638175,0.04704392596307913,0.02492323453785742,0.03849551513485494,0.5506613
1393,58,13.0,1.9311231833237867,0.04834937782899395,0.025036920609992658,0.036069229836217485,0.5759426
1411,59,18.0,1.9561893608835008,0.03751008088270161,0.01917507662231657,0.05617216543760151,0.576088
1422,60,11.0,1.9072592366825452,0.019227614915949046,0.010081280271785831,0.09697411208203861,0.57531315
1434,61,12.0,1.8777709404627483,0.07202609512006414,0.03835723174111662,0.06809388299613299,0.57655334
1461,62,27.0,1.9306830785892628,0.04949623145517738,0.025636642286907048,0.047332211268237896,0.56523967
