Episode time step,Mean silhouette score seed_0,Mean silhouette score seed_10,Mean silhouette score seed_20,Mean silhouette score seed_40,Mean silhouette score seed_60,Mean silhouette score seed_80,Mean silhouette score seed_100,Mean silhouette score
1481,,,0.55416095,,,,,0.55416095
1496,0.5590406,,,,,,,0.5590406
1498,,,0.552449,,,,0.54463506,0.5485420299999999
1504,,0.54880166,,,,,,0.54880166
1507,,,,,0.5440441,,,0.5440441
1511,,,0.5625559,,,,,0.5625559
1514,,,,,,0.54521626,,0.54521626
1517,,,,,,,0.55808145,0.55808145
1520,,,,,0.5514437,,,0.5514437
1522,,,,0.56164765,,,,0.56164765
1524,,0.56111306,,,,,,0.56111306
1531,,,,,,0.5592216,,0.5592216
1536,,,,,0.5260857,,,0.5260857
1539,0.554794,,,,,,,0.554794
1540,,,0.54835564,,,,,0.54835564
1541,,,,,,,0.5610362,0.5610362
1544,,,,0.57198447,,0.56374663,,0.56786555
1551,,,,,0.5516729,,,0.5516729
1554,,,,,,0.5850248,,0.5850248
1564,0.5489748,,,,,,0.5621418,0.5555583
1568,,,,0.5709406,,,,0.5709406
1572,,0.55394787,,,,,,0.55394787
1575,0.5746954,,,,,,,0.5746954
1577,,,,,0.53394896,,,0.53394896
1581,,,,,,0.5460958,,0.5460958
1586,,,,0.5576273,,,,0.5576273
1587,,,,,,,0.5544851,0.5544851
1589,,0.57007813,,,,,,0.57007813
1591,0.5500889,,,,,,,0.5500889
1595,,,0.5409968,,,,,0.5409968
1600,0.54874957,,,,,,0.5666761,0.557712835
1601,,,,,,0.5497843,,0.5497843
1607,,0.55225486,,,,,,0.55225486
1611,0.5489834,,0.54740417,0.55250484,,,,0.5496308033333334
1613,,,,,,,0.54322106,0.54322106
1614,,,,,0.5457612,,,0.5457612
1627,,,,,,,0.5624335,0.5624335
1628,,,,0.54620886,,,,0.54620886
1630,,,,,,0.5527328,,0.5527328
1632,,,0.54377484,,,,,0.54377484
1633,0.5453255,,,,,,,0.5453255
1642,,,,0.55469835,,,,0.55469835
1651,,0.5595738,,,,,,0.5595738
1652,,,,,,0.55808246,,0.55808246
1656,,,,0.57447016,,,,0.57447016
1658,0.54599726,,0.5577572,,,,,0.55187723
1660,,,,,,,0.5412357,0.5412357
1665,,,,,0.54157144,,,0.54157144
1668,0.56410563,,,,,,,0.56410563
1670,,,,,,0.5493247,,0.5493247
1673,,,0.547494,,,,,0.547494
1677,,,,0.5582276,,,,0.5582276
1681,,,,,,,0.524345,0.524345
1684,,,0.5693351,,,,,0.5693351
1689,,,,,,0.56422585,,0.56422585
1690,0.55970126,,,,,,,0.55970126
1695,,,,,,,0.5541502,0.5541502
1696,,,,0.56992364,,,,0.56992364
1697,,,0.54417795,,0.5454062,,,0.5447920749999999
1706,0.56171334,0.5549857,,,,,,0.5583495199999999
1709,,,,,,0.5462673,,0.5462673
1711,,,,,0.5276391,,,0.5276391
1712,,,,0.5710203,,,,0.5710203
1716,,,0.5682379,,,,,0.5682379
1724,,,,0.563457,,,0.54921824,0.55633762
1725,,,,,0.5330997,,,0.5330997
1728,,0.55868196,,,,,,0.55868196
1733,,,,,,0.5311306,,0.5311306
1734,0.5565106,,,,,,0.567585,0.5620478
1735,,,,,0.53223205,,,0.53223205
1740,,0.53885025,,,,,,0.53885025
1749,,,0.5640563,,,,,0.5640563
1755,,,,,,,0.548893,0.548893
1756,,,,0.5613773,,,,0.5613773
1766,,,,,,0.5369353,,0.5369353
1769,,,0.5510313,,,,,0.5510313
1772,0.55823886,0.5587904,,,,,,0.55851463
1775,,,,,,0.5224513,,0.5224513
1777,,,,,0.5345353,,,0.5345353
1797,0.5618593,,0.5561011,,0.54795533,,,0.5553052433333333
1798,,,,0.55449456,,,,0.55449456
1802,,,,,,0.53471017,0.5521234,0.543416785
1808,,,,0.53346264,,,,0.53346264
1809,,0.5243486,,,0.5334175,,,0.52888305
1812,,,,,,0.52326226,,0.52326226
1814,,,,,,,0.5638412,0.5638412
1821,,,0.5626732,,,,,0.5626732
1827,,,,,,,0.5564993,0.5564993
1830,0.5648835,,,,,0.5460007,,0.5554421
1834,,,,0.5674224,,,,0.5674224
1845,,,,,,,0.5448622,0.5448622
1846,,,,,,0.52723396,,0.52723396
1847,0.5345503,,,,,,,0.5345503
1850,,0.5395764,,0.57826793,,,,0.558922165
1856,,,0.5434805,,,,0.5492485,0.5463645
1859,,,,,,0.52570516,,0.52570516
1862,0.5645665,,,,0.535339,,,0.54995275
1869,,,,0.5657157,,,,0.5657157
1870,,0.53962785,,,,,,0.53962785
1873,,,0.55313325,,,,,0.55313325
1874,,,,,,0.54941916,,0.54941916
1875,0.5358165,,,,,,,0.5358165
1877,,,,,0.5317864,,,0.5317864
1884,,0.5559356,,,,,,0.5559356
1885,,,,,,,0.5556296,0.5556296
1886,,,0.558585,,,,,0.558585
1887,0.5495189,,,,,,,0.5495189
1892,,,,,0.55954796,,,0.55954796
