Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward,Episode reward std
88,-1000.0,-1000.0,-1000.0,-186.0,-1000.0,-1000.0,-1000.0,-883.7142857142857,284.84066437507244
89,-1000.0,-696.0,-1000.0,-188.0,-1000.0,-1000.0,-1000.0,-840.5714285714286,286.31593795409054
90,-1000.0,-1000.0,-1000.0,-245.0,-1000.0,-1000.0,-1000.0,-892.1428571428571,264.19496511447136
91,-1000.0,-1000.0,-1000.0,-152.0,-1000.0,-1000.0,-1000.0,-878.8571428571429,296.7381859828764
92,-1000.0,-1000.0,-1000.0,-154.0,-1000.0,-1000.0,-1000.0,-879.1428571428571,296.03833177065263
93,-1000.0,-1000.0,-1000.0,-310.0,-1000.0,-1000.0,-1000.0,-901.4285714285714,241.449703217199
94,-1000.0,-404.0,-1000.0,-159.0,-1000.0,-1000.0,-1000.0,-794.7142857142857,331.12393635086215
95,-1000.0,-1000.0,-1000.0,-206.0,-1000.0,-1000.0,-1000.0,-886.5714285714286,277.84212225283477
96,-1000.0,-338.0,-1000.0,-246.0,-1000.0,-1000.0,-1000.0,-797.7142857142857,320.7855154753336
97,-1000.0,-931.0,-1000.0,-168.0,-1000.0,-795.0,-1000.0,-842.0,283.9169898805937
98,-1000.0,-1000.0,-1000.0,-246.0,-1000.0,-1000.0,-1000.0,-892.2857142857143,263.84503800835944
99,-1000.0,-278.0,-1000.0,-237.0,-1000.0,-1000.0,-1000.0,-787.8571428571429,335.6062440128434
100,-1000.0,-337.0,-1000.0,-130.0,-1000.0,-1000.0,-1000.0,-781.0,350.6610084642187
